task_id,project_id,task_name,estimated_hours,priority,deadline,status,complexity_score
T001,P008,Security Audit,32,High,2024-09-24,Open,9
T002,P016,UI/UX Design,40,Low,2024-08-29,Open,8
T003,P005,NLP Model Training,28,Low,2024-08-13,Open,5
T004,P012,Feature Enhancement,8,Low,2024-06-25,In Progress,4
T005,P017,Database Design,12,Medium,2024-09-09,In Progress,8
T006,P013,Database Design,48,Medium,2024-08-17,Completed,6
T007,P019,Report Generation,36,High,2024-07-08,In Progress,9
T008,P012,User Authentication,36,Low,2024-09-23,Open,7
T009,P008,UI/UX Design,24,Medium,2024-09-10,In Progress,8
T010,P009,Payment Gateway Setup,48,Low,2024-07-08,In Progress,8
T011,P007,Android App Development,44,Low,2024-09-27,In Progress,5
T012,P008,Documentation,8,Medium,2024-09-10,Open,8
T013,P018,Payment Gateway Setup,20,Low,2024-04-22,In Progress,9
T014,P007,CI/CD Pipeline Setup,8,Low,2024-04-12,Open,10
T015,P012,Payment Gateway Setup,20,Medium,2024-09-06,Completed,9
T016,P010,Database Design,12,High,2024-04-22,In Progress,7
T017,P020,UI/UX Design,40,Medium,2024-04-21,Completed,9
T018,P001,Database Design,44,Low,2024-07-29,Completed,3
T019,P005,Security Audit,36,High,2024-06-01,In Progress,8
T020,P002,Feature Enhancement,16,High,2024-09-22,In Progress,10
T021,P001,Load Testing,36,High,2024-08-01,Open,8
T022,P003,UI/UX Design,40,Medium,2024-05-15,Completed,4
T023,P014,Dashboard Frontend,28,Low,2024-04-30,Completed,3
T024,P001,Bug Fixing,20,Low,2024-06-13,Completed,8
T025,P001,Android App Development,36,Low,2024-06-04,Completed,6
T026,P014,Database Design,24,High,2024-06-04,In Progress,8
T027,P009,Dashboard Frontend,8,Medium,2024-09-24,In Progress,5
T028,P012,iOS App Development,36,High,2024-09-02,In Progress,10
T029,P004,Dashboard Frontend,12,Low,2024-04-25,Open,7
T030,P015,iOS App Development,40,High,2024-05-22,Open,9
T031,P001,Bug Fixing,12,High,2024-05-13,In Progress,9
T032,P002,Backend Refactoring,44,Medium,2024-09-14,Open,5
T033,P006,iOS App Development,16,Medium,2024-04-11,Completed,5
